"SPY","SPY_monthly_adjusted_growth","date_join","AGG","AGG_monthly_adjusted_growth","ACWI","ACWI_monthly_adjusted_growth","value","treasury_monthly_return","salary"
550.81,0.0121,"Jul-2024",99.11,0.0242,114.13,0.0154,5.2,0.0043,80034.2465753424
544.22,0.0353,"Jun-2024",97.07,0.0088,112.4,0.0204,5.24,0.0044,79743.1506849315
527.37,0.0506,"May-2024",96.52,0.0167,111.08,0.0458,5.25,0.0044,79452.0547945205
501.98,-0.0403,"Apr-2024",95.23,-0.0248,106.22,-0.0355,5.24,0.0044,79160.9589041096
523.07,0.0327,"Mar-2024",97.94,0.009,110.13,0.0326,5.24,0.0044,78801.3698630137
508.08,0.0522,"Feb-2024",97.35,-0.0148,106.65,0.0451,5.24,0.0044,78441.7808219178
482.88,0.0159,"Jan-2024",99.1,-0.0015,102.05,0.0028,5.22,0.0043,78082.1917808219
475.31,0.0457,"Dec-2023",99.25,0.0369,101.77,0.0483,5.24,0.0044,77808.2191780822
456.4,0.0913,"Nov-2023",96.26,0.0459,98.02,0.0889,5.27,0.0044,77534.2465753424
418.2,-0.0217,"Oct-2023",92.31,-0.0157,90.02,-0.0254,5.34,0.0044,77260.2739726027
427.48,-0.0474,"Sep-2023",94.04,-0.0259,92.37,-0.0428,5.32,0.0044,76900.6849315068
450.35,-0.0163,"Aug-2023",96.8,-0.0063,96.5,-0.0291,5.3,0.0044,76541.0958904109
457.79,0.0327,"Jul-2023",97.68,-2e-04,99.39,0.036,5.25,0.0044,76181.5068493151
443.28,0.0648,"Jun-2023",97.95,-0.0037,95.94,0.0579,5.16,0.0043,75907.5342465753
417.85,0.0046,"May-2023",98.57,-0.0114,91.62,-0.0105,5.14,0.0043,75633.5616438356
415.93,0.016,"Apr-2023",99.96,0.0057,92.59,0.0157,4.92,0.0041,75359.5890410959
409.39,0.0371,"Mar-2023",99.64,0.0264,91.16,0.0333,4.69,0.0039,75119.8630136986
396.26,-0.0251,"Feb-2023",97.31,-0.0267,88.22,-0.0332,4.65,0.0039,74880.1369863014
406.48,0.0629,"Jan-2023",100.22,0.0333,91.25,0.075,4.54,0.0038,74640.4109589041
382.43,-0.0576,"Dec-2022",96.99,-0.0087,84.88,-0.0462,4.25,0.0035,74349.3150684931
407.68,0.0556,"Nov-2022",98.29,0.0381,89.67,0.0834,4.15,0.0035,74058.2191780822
386.21,0.0813,"Oct-2022",94.9,-0.0128,82.77,0.0635,3.72,0.0031,73767.1232876712
357.18,-0.0924,"Sep-2022",96.34,-0.0414,77.83,-0.0939,3.13,0.0026,73424.6575342466
395.18,-0.0408,"Aug-2022",100.71,-0.0304,85.9,-0.0436,2.63,0.0022,73082.1917808219
411.99,0.0921,"Jul-2022",104.07,0.0254,89.82,0.0707,2.23,0.0019,72739.7260273972
377.25,-0.0825,"Jun-2022",101.68,-0.0155,83.89,-0.0809,1.49,0.0012,72482.8767123287
412.93,0.0023,"May-2022",103.47,0.0076,92.14,0.0045,0.98,8e-04,72226.0273972602
412,-0.0878,"Apr-2022",102.87,-0.0381,91.73,-0.0807,0.76,6e-04,71969.1780821917
451.64,0.0376,"Mar-2022",107.1,-0.0281,99.78,0.0194,0.44,4e-04,71729.4520547945
436.63,-0.0295,"Feb-2022",110.36,-0.0115,97.88,-0.0306,0.33,3e-04,71489.7260273972
449.91,-0.0527,"Jan-2022",111.8,-0.02,100.97,-0.0455,0.15,1e-04,71250
474.96,0.0463,"Dec-2021",114.08,-0.0036,105.78,0.039,0.06,0,71061.6438356164
455.56,-0.008,"Nov-2021",114.77,0.0027,102.88,-0.0231,0.05,0,70873.2876712328
459.25,0.0702,"Oct-2021",114.64,-1e-04,105.31,0.0539,0.05,0,70684.9315068493
429.14,-0.0466,"Sep-2021",114.83,-0.0092,99.92,-0.0423,0.04,0,70582.1917808219
451.56,0.0298,"Aug-2021",116.06,-0.002,104.33,0.0217,0.05,0,70479.4520547945
438.51,0.0244,"Jul-2021",116.46,0.0112,102.11,0.0091,0.05,0,70376.7123287671
428.06,0.0225,"Jun-2021",115.33,0.0083,101.19,0.0126,0.04,0,70188.3561643835
420.04,0.0066,"May-2021",114.55,0.002,100.65,0.0147,0.02,0,70000
417.3,0.0529,"Apr-2021",114.49,0.0073,99.19,0.0425,0.02,0,69811.6438356164
396.33,0.0454,"Mar-2021",113.83,-0.0115,95.15,0.0285,0.03,0,69691.7808219178
380.36,0.0278,"Feb-2021",115.34,-0.0152,92.51,0.0229,0.04,0,69571.9178082191
370.07,-0.0102,"Jan-2021",117.31,-0.0074,90.44,-0.0031,0.08,1e-04,69452.0547945205
373.88,0.0371,"Dec-2020",118.19,9e-04,90.72,0.0469,0.09,1e-04,69332.1917808219
362.06,0.1088,"Nov-2020",118.42,0.0121,87.33,0.1176,0.09,1e-04,69212.3287671233
326.54,-0.0249,"Oct-2020",117.2,-0.0056,78.14,-0.0223,0.1,1e-04,69092.4657534246
334.89,-0.0374,"Sep-2020",118.06,-0.001,79.92,-0.0295,0.11,1e-04,69126.7123287671
349.31,0.0698,"Aug-2020",118.37,-0.0082,82.35,0.0603,0.1,1e-04,69160.9589041096
326.52,0.0589,"Jul-2020",119.56,0.0133,77.67,0.0536,0.13,1e-04,69195.205479452
308.36,0.0178,"Jun-2020",118.21,0.0066,73.72,0.0293,0.16,1e-04,69023.9726027397
304.32,0.0476,"May-2020",117.65,0.0067,72.22,0.0509,0.13,1e-04,68852.7397260274
290.48,0.127,"Apr-2020",117.1,0.0172,68.72,0.0983,0.14,1e-04,68681.506849315
257.75,-0.1246,"Mar-2020",115.37,-0.0053,62.57,-0.1341,0.29,2e-04,68544.5205479452
296.26,-0.0792,"Feb-2020",116.22,0.0159,72.26,-0.0749,1.52,0.0013,68407.5342465753
321.73,-4e-04,"Jan-2020",114.65,0.0203,78.11,-0.0144,1.52,0.0013,68270.5479452054
321.86,0.029,"Dec-2019",112.37,-5e-04,79.25,0.0343,1.54,0.0013,68133.5616438356
314.31,0.0362,"Nov-2019",112.86,-3e-04,77.54,0.0234,1.54,0.0013,67996.5753424657
303.33,0.0221,"Oct-2019",113.15,0.0021,75.77,0.0274,1.65,0.0014,67859.5890410958
296.77,0.0195,"Sep-2019",113.17,-0.0061,73.75,0.0225,1.89,0.0016,67705.4794520547
