"realtime_start","realtime_end","date","value"
"2024-11-27","2024-11-27",2001-01-01,"87.6"
"2024-11-27","2024-11-27",2001-04-01,"88.4"
"2024-11-27","2024-11-27",2001-07-01,"89.4"
"2024-11-27","2024-11-27",2001-10-01,"90.0"
"2024-11-27","2024-11-27",2002-01-01,"90.5"
"2024-11-27","2024-11-27",2002-04-01,"91.2"
"2024-11-27","2024-11-27",2002-07-01,"92.1"
"2024-11-27","2024-11-27",2002-10-01,"92.8"
"2024-11-27","2024-11-27",2003-01-01,"93.5"
"2024-11-27","2024-11-27",2003-04-01,"94.1"
"2024-11-27","2024-11-27",2003-07-01,"94.4"
"2024-11-27","2024-11-27",2003-10-01,"94.9"
"2024-11-27","2024-11-27",2004-01-01,"95.5"
"2024-11-27","2024-11-27",2004-04-01,"96.0"
"2024-11-27","2024-11-27",2004-07-01,"96.3"
"2024-11-27","2024-11-27",2004-10-01,"96.9"
"2024-11-27","2024-11-27",2005-01-01,"97.7"
"2024-11-27","2024-11-27",2005-04-01,"98.3"
"2024-11-27","2024-11-27",2005-07-01,"98.8"
"2024-11-27","2024-11-27",2005-10-01,"99.8"
"2024-11-27","2024-11-27",2006-01-01,"100.4"
"2024-11-27","2024-11-27",2006-04-01,"101.2"
"2024-11-27","2024-11-27",2006-07-01,"102.4"
"2024-11-27","2024-11-27",2006-10-01,"103.4"
"2024-11-27","2024-11-27",2007-01-01,"104.2"
"2024-11-27","2024-11-27",2007-04-01,"105.0"
"2024-11-27","2024-11-27",2007-07-01,"106.0"
"2024-11-27","2024-11-27",2007-10-01,"107.0"
"2024-11-27","2024-11-27",2008-01-01,"107.8"
"2024-11-27","2024-11-27",2008-04-01,"108.6"
"2024-11-27","2024-11-27",2008-07-01,"109.7"
"2024-11-27","2024-11-27",2008-10-01,"110.3"
"2024-11-27","2024-11-27",2009-01-01,"111.0"
"2024-11-27","2024-11-27",2009-04-01,"111.7"
"2024-11-27","2024-11-27",2009-07-01,"111.9"
"2024-11-27","2024-11-27",2009-10-01,"112.4"
"2024-11-27","2024-11-27",2010-01-01,"112.8"
"2024-11-27","2024-11-27",2010-04-01,"113.2"
"2024-11-27","2024-11-27",2010-07-01,"113.3"
"2024-11-27","2024-11-27",2010-10-01,"113.8"
"2024-11-27","2024-11-27",2011-01-01,"114.1"
"2024-11-27","2024-11-27",2011-04-01,"114.4"
"2024-11-27","2024-11-27",2011-07-01,"114.5"
"2024-11-27","2024-11-27",2011-10-01,"114.8"
"2024-11-27","2024-11-27",2012-01-01,"115.2"
"2024-11-27","2024-11-27",2012-04-01,"115.6"
"2024-11-27","2024-11-27",2012-07-01,"115.8"
"2024-11-27","2024-11-27",2012-10-01,"116.1"
"2024-11-27","2024-11-27",2013-01-01,"116.4"
"2024-11-27","2024-11-27",2013-04-01,"116.7"
"2024-11-27","2024-11-27",2013-07-01,"116.9"
"2024-11-27","2024-11-27",2013-10-01,"117.4"
"2024-11-27","2024-11-27",2014-01-01,"117.8"
"2024-11-27","2024-11-27",2014-04-01,"118.2"
"2024-11-27","2024-11-27",2014-07-01,"118.8"
"2024-11-27","2024-11-27",2014-10-01,"119.4"
"2024-11-27","2024-11-27",2015-01-01,"120.0"
"2024-11-27","2024-11-27",2015-04-01,"120.6"
"2024-11-27","2024-11-27",2015-07-01,"121.0"
"2024-11-27","2024-11-27",2015-10-01,"121.5"
"2024-11-27","2024-11-27",2016-01-01,"122.1"
"2024-11-27","2024-11-27",2016-04-01,"122.7"
"2024-11-27","2024-11-27",2016-07-01,"123.4"
"2024-11-27","2024-11-27",2016-10-01,"124.0"
"2024-11-27","2024-11-27",2017-01-01,"124.8"
"2024-11-27","2024-11-27",2017-04-01,"125.3"
"2024-11-27","2024-11-27",2017-07-01,"125.9"
"2024-11-27","2024-11-27",2017-10-01,"126.5"
"2024-11-27","2024-11-27",2018-01-01,"127.1"
"2024-11-27","2024-11-27",2018-04-01,"127.9"
"2024-11-27","2024-11-27",2018-07-01,"128.7"
"2024-11-27","2024-11-27",2018-10-01,"129.5"
"2024-11-27","2024-11-27",2019-01-01,"130.3"
"2024-11-27","2024-11-27",2019-04-01,"131.2"
"2024-11-27","2024-11-27",2019-07-01,"132.1"
"2024-11-27","2024-11-27",2019-10-01,"132.9"
"2024-11-27","2024-11-27",2020-01-01,"133.7"
"2024-11-27","2024-11-27",2020-04-01,"134.7"
"2024-11-27","2024-11-27",2020-07-01,"134.5"
"2024-11-27","2024-11-27",2020-10-01,"135.2"
"2024-11-27","2024-11-27",2021-01-01,"135.9"
"2024-11-27","2024-11-27",2021-04-01,"137.0"
"2024-11-27","2024-11-27",2021-07-01,"137.6"
"2024-11-27","2024-11-27",2021-10-01,"138.7"
"2024-11-27","2024-11-27",2022-01-01,"140.1"
"2024-11-27","2024-11-27",2022-04-01,"141.6"
"2024-11-27","2024-11-27",2022-07-01,"143.6"
"2024-11-27","2024-11-27",2022-10-01,"145.3"
"2024-11-27","2024-11-27",2023-01-01,"146.7"
"2024-11-27","2024-11-27",2023-04-01,"148.3"
"2024-11-27","2024-11-27",2023-07-01,"150.4"
"2024-11-27","2024-11-27",2023-10-01,"152.0"
"2024-11-27","2024-11-27",2024-01-01,"154.1"
"2024-11-27","2024-11-27",2024-04-01,"155.8"
"2024-11-27","2024-11-27",2024-07-01,"157.3"
